lag_years,n_facilities,pct
-10,2622,1.3
-9,2474,1.23
-8,2297,1.14
-7,3075,1.53
-6,6141,3.05
-5,3784,1.88
-4,2151,1.07
-3,3453,1.71
-2,3231,1.6
-1,4760,2.36
0,28336,14.06
1,112709,55.93
2,14094,6.99
3,1559,0.77
4,1842,0.91
5,1172,0.58
6,686,0.34
7,963,0.48
8,412,0.2
9,380,0.19
10,2124,1.05
11,397,0.2
12,341,0.17
13,419,0.21
14,697,0.35
15,249,0.12
16,291,0.14
17,113,0.06
18,211,0.1
19,88,0.04
20,73,0.04
21,35,0.02
22,34,0.02
23,12,0.01
24,13,0.01
25,23,0.01
26,16,0.01
27,11,0.01
28,13,0.01
29,8,0
30,14,0.01
31,3,0
32,6,0
33,10,0
34,6,0
35,9,0
36,7,0
37,7,0
38,14,0.01
39,5,0
40,5,0
41,4,0
42,4,0
43,3,0
45,109,0.05
46,1,0
47,1,0
49,1,0
