STATE,major,synmin,total,synmin_share
VT,8,150,158,0.9494
OK,265,2283,2548,0.896
MA,115,881,996,0.8845
VA,213,1390,1603,0.8671
NH,28,182,210,0.8667
NY,336,2145,2481,0.8646
ME,53,287,340,0.8441
IA,282,1512,1794,0.8428
NM,173,906,1079,0.8397
NJ,250,1151,1401,0.8216
CO,335,1530,1865,0.8204
ID,52,217,269,0.8067
RI,29,109,138,0.7899
AR,227,747,974,0.7669
KS,262,796,1058,0.7524
MI,386,1143,1529,0.7475
TN,270,754,1024,0.7363
CT,65,177,242,0.7314
PA,498,1345,1843,0.7298
GA,371,961,1332,0.7215
NC,389,821,1210,0.6785
MD,122,215,337,0.638
SC,261,439,700,0.6271
AZ,136,216,352,0.6136
FL,417,635,1052,0.6036
OH,612,927,1539,0.6023
DE,66,94,160,0.5875
WA,125,170,295,0.5763
IN,648,779,1427,0.5459
AL,361,414,775,0.5342
NE,122,137,259,0.529
KY,289,323,612,0.5278
SD,82,75,157,0.4777
MS,292,245,537,0.4562
WI,379,296,675,0.4385
NV,86,66,152,0.4342
IL,467,314,781,0.402
ND,103,67,170,0.3941
MT,60,39,99,0.3939
MO,241,154,395,0.3899
UT,97,59,156,0.3782
WV,209,110,319,0.3448
MN,282,133,415,0.3205
CA,1190,377,1567,0.2406
WY,111,34,145,0.2345
LA,563,118,681,0.1733
OR,155,21,176,0.1193
DC,46,5,51,0.098
TX,2162,84,2246,0.0374
