class,year,facilities
Major,2015,12476
Major,2016,12749
Major,2017,12701
Major,2018,12973
Major,2019,12973
Major,2020,13021
Major,2021,13004
Major,2022,13079
Major,2023,13098
Major,2024,13070
Major,2025,13012
Synthetic Minor,2015,18677
Synthetic Minor,2016,21068
Synthetic Minor,2017,21009
Synthetic Minor,2018,21740
Synthetic Minor,2019,21740
Synthetic Minor,2020,22134
Synthetic Minor,2021,22344
Synthetic Minor,2022,22612
Synthetic Minor,2023,22751
Synthetic Minor,2024,22972
Synthetic Minor,2025,23059
