class,year,share_event,n
Major,2015,0.873597306829112,12476
Major,2016,0.87504902345282,12749
Major,2017,0.872372254153216,12701
Major,2018,0.852771140060125,12973
Major,2019,0.845139905958529,12973
Major,2020,0.834728515475002,13021
Major,2021,0.82982159335589,13004
Major,2022,0.821698906644239,13079
Major,2023,0.825851275003817,13098
Major,2024,0.826472838561591,13070
Major,2025,0.810790039963111,13012
Synthetic Minor,2015,0.512234298870268,18677
Synthetic Minor,2016,0.471710651224606,21068
Synthetic Minor,2017,0.449854824122995,21009
Synthetic Minor,2018,0.443422263109476,21740
Synthetic Minor,2019,0.438316467341306,21740
Synthetic Minor,2020,0.41302972802024,22134
Synthetic Minor,2021,0.435597923379878,22344
Synthetic Minor,2022,0.431010083141695,22612
Synthetic Minor,2023,0.432948002285614,22751
Synthetic Minor,2024,0.431786522723315,22972
Synthetic Minor,2025,0.415629472223427,23059
