panel,variable,level,n,pct
Electric,obs_source,event,42544,0.67
Electric,obs_source,unobserved,14747,0.232
Electric,obs_source,operating,6234,0.098
Electric,AIR_POLLUTANT_CLASS_DESC,Major Emissions,2261,0.747
Electric,AIR_POLLUTANT_CLASS_DESC,Synthetic Minor Emissions,764,0.253
Electric,op_status_current_desc,Operating,2440,0.807
Electric,op_status_current_desc,Permanently Closed,559,0.185
Electric,op_status_current_desc,Temporarily Closed,16,0.005
Electric,op_status_current_desc,Planned Facility,6,0.002
Electric,op_status_current_desc,Under Construction,2,0.001
Electric,op_status_current_desc,,2,0.001
Electric,facility_type,Privately owned,1425,0.471
Electric,facility_type,,1074,0.355
Electric,facility_type,City government,219,0.072
Electric,facility_type,Non-classified,205,0.068
Electric,facility_type,Corporation,40,0.013
Electric,facility_type,Federal facility,25,0.008
Electric,facility_type,County government,20,0.007
Electric,facility_type,State facility,15,0.005
Electric,facility_type,District,2,0.001
Electric,EPA_REGION,5,561,0.185
Electric,EPA_REGION,4,464,0.153
Electric,EPA_REGION,7,436,0.144
Electric,EPA_REGION,6,352,0.116
Electric,EPA_REGION,9,331,0.109
Electric,EPA_REGION,3,282,0.093
Electric,EPA_REGION,2,248,0.082
Electric,EPA_REGION,1,157,0.052
Electric,EPA_REGION,8,132,0.044
Electric,EPA_REGION,10,62,0.02
Major/SynMin,obs_source,event,454632,0.477
Major/SynMin,obs_source,unobserved,342826,0.359
Major/SynMin,obs_source,operating,156425,0.164
Major/SynMin,AIR_POLLUTANT_CLASS_DESC,Synthetic Minor Emissions,29334,0.646
Major/SynMin,AIR_POLLUTANT_CLASS_DESC,Major Emissions,16089,0.354
Major/SynMin,op_status_current_desc,Operating,35623,0.784
Major/SynMin,op_status_current_desc,Permanently Closed,9403,0.207
Major/SynMin,op_status_current_desc,Temporarily Closed,229,0.005
Major/SynMin,op_status_current_desc,Under Construction,55,0.001
Major/SynMin,op_status_current_desc,,45,0.001
Major/SynMin,op_status_current_desc,Planned Facility,35,0.001
Major/SynMin,op_status_current_desc,Seasonal,33,0.001
Major/SynMin,facility_type,Privately owned,23297,0.513
Major/SynMin,facility_type,,14666,0.323
Major/SynMin,facility_type,Non-classified,4402,0.097
Major/SynMin,facility_type,Corporation,1420,0.031
Major/SynMin,facility_type,City government,558,0.012
Major/SynMin,facility_type,Federal facility,361,0.008
Major/SynMin,facility_type,State facility,340,0.007
Major/SynMin,facility_type,County government,332,0.007
Major/SynMin,facility_type,District,47,0.001
Major/SynMin,EPA_REGION,4,8754,0.193
Major/SynMin,EPA_REGION,6,8100,0.178
Major/SynMin,EPA_REGION,5,7363,0.162
Major/SynMin,EPA_REGION,3,4685,0.103
Major/SynMin,EPA_REGION,2,4191,0.092
Major/SynMin,EPA_REGION,7,3995,0.088
Major/SynMin,EPA_REGION,8,2888,0.064
Major/SynMin,EPA_REGION,1,2304,0.051
Major/SynMin,EPA_REGION,9,2223,0.049
Major/SynMin,EPA_REGION,10,920,0.02
Universe,obs_source,unobserved,1317257,0.464
Universe,obs_source,operating,781929,0.275
Universe,obs_source,event,740287,0.261
Universe,AIR_POLLUTANT_CLASS_DESC,Minor Emissions,81955,0.606
Universe,AIR_POLLUTANT_CLASS_DESC,Synthetic Minor Emissions,29334,0.217
Universe,AIR_POLLUTANT_CLASS_DESC,Major Emissions,16089,0.119
Universe,AIR_POLLUTANT_CLASS_DESC,,4452,0.033
Universe,AIR_POLLUTANT_CLASS_DESC,Not applicable,1659,0.012
Universe,AIR_POLLUTANT_CLASS_DESC,Emissions classification unknown,1193,0.009
Universe,AIR_POLLUTANT_CLASS_DESC,Other,531,0.004
Universe,op_status_current_desc,Operating,102227,0.756
Universe,op_status_current_desc,Permanently Closed,27968,0.207
Universe,op_status_current_desc,,3255,0.024
Universe,op_status_current_desc,Temporarily Closed,1247,0.009
Universe,op_status_current_desc,Under Construction,206,0.002
Universe,op_status_current_desc,Planned Facility,166,0.001
Universe,op_status_current_desc,Seasonal,144,0.001
Universe,facility_type,Privately owned,76795,0.568
Universe,facility_type,,30251,0.224
Universe,facility_type,Non-classified,16652,0.123
Universe,facility_type,Corporation,6632,0.049
Universe,facility_type,City government,1848,0.014
Universe,facility_type,County government,1333,0.01
Universe,facility_type,State facility,835,0.006
Universe,facility_type,Federal facility,671,0.005
Universe,facility_type,District,196,0.001
Universe,EPA_REGION,6,23888,0.177
Universe,EPA_REGION,5,22002,0.163
Universe,EPA_REGION,4,20488,0.152
Universe,EPA_REGION,3,20127,0.149
Universe,EPA_REGION,7,13098,0.097
Universe,EPA_REGION,8,12417,0.092
Universe,EPA_REGION,2,10555,0.078
Universe,EPA_REGION,1,7125,0.053
Universe,EPA_REGION,9,3114,0.023
Universe,EPA_REGION,10,2399,0.018
