panel,family,n_rows,n_dup,n_dup_exact,dup_share,dup_exact_share
Electric,inspections,118549,16,0,0,0
Electric,enforcement,13409,4525,4487,0.337,0.335
Electric,formal,4128,38,0,0.009,0
Electric,informal,9281,4487,4487,0.483,0.483
Electric,certs,295160,238730,237337,0.809,0.804
Major/SynMin,inspections,881729,400,0,0,0
Major/SynMin,enforcement,184640,65834,65315,0.357,0.354
Major/SynMin,formal,49293,519,0,0.011,0
Major/SynMin,informal,135347,65315,65315,0.483,0.483
Major/SynMin,certs,2057570,1667467,1659959,0.81,0.807
Universe,inspections,1237751,573,0,0,0
Universe,enforcement,266266,96595,95929,0.363,0.36
Universe,formal,66613,666,0,0.01,0
Universe,informal,199653,95929,95929,0.48,0.48
Universe,certs,2237215,1812705,1804484,0.81,0.807
